Vial,Line,Sex,pastrel_SNP,Infection_Duration,Infection_Day,Collection_Day,Viral Load,Viral Load per Fly,Threshold_InfectionPA,Virus Shed,Virus Shed per Fly,SheddingPA,Shed Plate,Shed Well
1,738,m,C,3,3,6,0,0,0,0,0,0,13,B7
2,738,m,C,3,1,4,0,0,0,0,0,0,13,B8
3,738,m,C,3,2,5,0,0,0,0,0,0,19,E7
4,738,m,C,3,3,6,0,0,0,0,0,0,9,E6
5,738,m,C,3,1,4,32.6385231,12239.44616,1,0,0,0,14,D7
6,738,m,C,3,2,5,0.049574621,18.59048288,1,0.342492491,85.62312275,1,11,D5
7,738,m,C,3,3,6,2.966101646,1112.288117,1,0,0,0,19,E10
8,738,m,C,2,2,4,0,0,0,0.277869344,69.46733594,1,5,E6
9,738,m,C,2,3,5,0,0,0,0.047651462,11.91286556,1,10,H7
10,738,m,C,2,1,3,4145.04541,1554392.029,1,0.70387876,175.9696901,1,2,A10
11,738,m,C,2,2,4,0,0,0,0,0,0,14,D6
12,738,m,C,2,3,5,0,0,0,12.53166294,3132.915735,1,21,G9
13,738,m,C,2,1,3,0,0,0,0.497289211,124.3223026,1,NA,NA
14,738,m,C,1,1,2,0.048618339,18.23187713,1,0.4647322,116.18305,1,3,C6
15,738,m,C,1,2,3,0,0,0,0.198191926,49.54798147,1,12,D6
16,738,m,C,1,3,4,0,0,0,0.742491543,185.6228858,1,7,H7
17,738,m,C,1,1,2,0,0,0,0,0,0,17,B4
18,738,m,C,1,2,3,0.171999335,64.49975073,1,0,0,0,11,H5
19,738,m,C,2,2,4,4.58225584,1718.34594,1,0.759806871,189.9517179,1,7,H10
20,738,m,C,2,3,5,6.580188751,2467.570782,1,1.390220046,347.5550115,1,14,H8
21,738,m,C,1,3,4,0.002641526,0.990572269,1,0,0,0,12,H10
22,738,m,C,1,1,2,0,0,0,0.095492549,23.87313731,1,16,E8
23,738,m,C,1,2,3,0.204923555,76.84633322,1,0.040501945,10.12548618,1,NA,NA
24,738,m,C,1,3,4,0.675422966,253.2836124,1,0.220127657,55.03191426,1,20,C7
25,738,m,C,1,1,2,0.029272379,10.97714226,1,0,0,0,12,H9
26,738,m,C,2,1,3,2.491808414,934.4281554,1,0.282165378,70.54134458,1,9,C7
27,738,m,C,3,1,4,0.663896739,248.9612773,1,0,0,0,18,F6
28,738,m,C,3,2,5,0,0,0,0.068440795,17.11019874,1,5,F9
29,738,m,C,2,2,4,193.5679626,72587.98599,1,8.811475754,2202.868938,1,NA,NA
30,738,m,C,2,3,5,19.23844147,7214.41555,1,0.286120325,71.53008133,1,10,A10
31,738,m,C,2,1,3,0,0,0,0.863169491,215.7923728,1,6,H8
33,738,m,C,3,1,4,,0,0,0,0,0,17,E8
136,502,m,C,3,3,6,0,0,0,0,0,0,10,D8
137,502,m,C,2,2,4,0,0,0,0.5628227,140.7056749,1,7,C8
138,502,m,C,1,1,2,0,0,0,0,0,0,20,D10
139,502,m,C,3,3,6,4.625174522,1734.440446,1,0.136649907,34.16247666,1,3,C10
140,502,m,C,3,1,4,0,0,0,0,0,0,10,B6
141,502,m,C,3,2,5,0,0,0,1.580906987,395.2267468,1,4,H5
142,502,m,C,3,3,6,0,0,0,0.190354869,47.58871719,1,18,G10
143,502,m,C,3,1,4,NA,NA,NA,0,0,0,10,A7
144,502,m,C,3,2,5,NA,NA,NA,0.490022391,122.5055978,1,9,B10
145,502,m,C,3,3,6,NA,NA,NA,0.324554831,81.1387077,1,12,D9
146,502,m,C,3,1,4,NA,NA,NA,0.291298807,72.82470167,1,3,A9
147,502,m,C,3,2,5,0,0,0,0,0,0,18,A11
148,502,m,C,3,3,6,NA,NA,NA,0.190320104,47.58002609,1,6,F7
149,502,m,C,3,3,6,0,0,0,0,0,0,12,B9
150,502,m,C,2,3,5,0,0,0,0,0,0,12,A10
151,502,m,C,2,1,3,40.46036148,15172.63556,1,0,0,0,16,D6
152,502,m,C,2,2,4,0,0,0,0,0,0,11,B5
153,502,m,C,2,3,5,339511.375,127316765.6,1,0.536109269,134.0273172,1,15,B8
154,502,m,C,2,1,3,118.2374649,44339.04934,1,0,0,0,17,E4
155,502,m,C,2,2,4,0,0,0,33.47689438,8369.223595,1,13,E10
156,502,m,C,2,3,5,6.832849503,2562.318563,1,0,0,0,10,B5
157,502,m,C,2,1,3,170.595932,63973.4745,1,0,0,0,18,G4
158,502,m,C,2,2,4,81.90254974,30713.45615,1,2.456248999,614.0622497,1,7,F10
159,502,m,C,2,3,5,0.000232714,0.087267601,1,1.990602136,497.6505339,1,7,G9
160,502,m,C,1,2,3,0.266781628,100.0431105,1,0,0,0,16,C6
161,502,m,C,1,3,4,0.001878865,0.704574399,1,0,0,0,15,B6
162,502,m,C,1,1,2,0.313031703,117.3868887,1,0.72871083,182.1777076,1,7,H8
163,502,m,C,1,2,3,0,0,0,0,0,0,11,H6
164,502,m,C,1,3,4,0,0,0,0.072975509,18.24387722,1,3,G10
165,502,m,C,1,1,2,0.110764548,41.53670557,1,0,0,0,15,H7
