Replicate,Line,Sex,Infection,Individual,Block,Day,X,Y,closest_fly,mean_distance,median_distance,FliesWithin10mm,FliesWithin15mm,FliesWithin20mm,Mean_close_flies
1,59,Female,Infected,1,1,27/11/2017,74.957,68.727,16.15407726,31.56764172,32.32200987,0,0,2,5
1,59,Female,Infected,2,1,27/11/2017,69.973,84.093,3.354029219,24.03519351,25.62953673,2,4,5,5
1,59,Female,Infected,3,1,27/11/2017,68.727,87.207,2.499668978,23.46430421,23.25642288,3,4,5,6
1,59,Female,Infected,4,1,27/11/2017,66.236,87.415,2.499668978,22.23652959,20.85972675,4,4,4,6
1,59,Female,Infected,5,1,27/11/2017,61.46,92.19,3.175708582,22.40090569,21.48652536,3,5,5,6
1,59,Female,Infected,6,1,27/11/2017,58.346,91.567,3.175708582,21.71063894,18.32968066,2,5,6,7
1,59,Female,Infected,7,1,27/11/2017,46.926,95.305,8.596300658,25.23347785,23.25642288,1,4,4,6
1,59,Female,Infected,8,1,27/11/2017,40.074,90.114,6.45042828,25.7348519,26.30085255,2,2,3,5
1,59,Female,Infected,9,1,27/11/2017,39.658,83.677,6.45042828,24.71380642,25.70348539,1,2,3,5
1,59,Female,Infected,10,1,27/11/2017,30.522,67.274,10.12518444,33.04125361,36.93676793,0,1,2,5
1,59,Female,Infected,11,1,27/11/2017,35.298,58.346,10.12518444,34.58890329,40.43321834,0,1,2,4
1,59,Female,Infected,12,1,27/11/2017,51.286,46.718,19.76933302,39.53483986,43.35606427,0,0,1,4
2,59,Female,Infected,1,1,27/11/2017,67.266,79.538,16.17023689,23.88144038,22.65446086,0,0,2,6
2,59,Female,Infected,2,1,27/11/2017,75.205,60.9,20.25839986,39.24022935,40.67338122,0,0,0,4
2,59,Female,Infected,3,1,27/11/2017,72.022,94.993,8.820410988,24.69336084,28.99855617,2,2,4,4
2,59,Female,Infected,4,1,27/11/2017,47.631,77.774,6.922298029,21.32868195,22.55117292,2,3,5,5
2,59,Female,Infected,5,1,27/11/2017,38.197,77.774,6.217255745,25.22632223,29.1224734,3,3,4,5
2,59,Female,Infected,6,1,27/11/2017,38.427,83.987,6.217255745,22.94738882,28.92763794,2,4,5,5
2,59,Female,Infected,7,1,27/11/2017,45.1,84.217,6.676962558,19.52023925,22.65446086,4,4,5,5
2,59,Female,Infected,8,1,27/11/2017,41.878,93.421,9.134971155,21.46902075,21.39077626,2,3,5,6
2,59,Female,Infected,9,1,27/11/2017,47.861,100.324,9.134971155,21.72578493,18.86525709,1,2,6,6
2,59,Female,Infected,10,1,27/11/2017,63.048,99.173,3.773682817,20.8020338,21.93751134,3,3,4,5
2,59,Female,Infected,11,1,27/11/2017,60.056,104.696,6.28136872,23.17944783,25.35885204,2,3,4,5
2,59,Female,Infected,12,1,27/11/2017,66.039,101.474,3.773682817,23.0025472,25.46771937,3,3,4,5
3,59,Female,Control,1,1,27/11/2017,72.761,60.168,29.83468895,40.97375729,39.14097053,0,0,0,6
3,59,Female,Control,2,1,27/11/2017,66.364,93.95,9.038961721,32.61095986,34.19225962,1,1,2,4
3,59,Female,Control,3,1,27/11/2017,57.769,96.748,8.539907318,28.6707184,26.95727881,2,2,4,6
3,59,Female,Control,4,1,27/11/2017,49.773,99.747,8.539907318,27.96343072,20.23378042,1,2,5,6
3,59,Female,Control,5,1,27/11/2017,42.977,84.955,12.16810803,23.19383695,21.9874186,0,3,5,5
3,59,Female,Control,6,1,27/11/2017,39.979,96.748,8.583893056,26.52451387,22.16147117,1,4,5,5
3,59,Female,Control,7,1,27/11/2017,32.383,92.75,3.438721419,27.50931786,29.85053637,2,3,4,5
3,59,Female,Control,8,1,27/11/2017,30.384,89.952,3.438721419,27.95461484,31.77261422,1,3,3,4
3,59,Female,Control,9,1,27/11/2017,43.577,53.971,2.559844136,32.93773911,39.34288769,2,2,2,4
3,59,Female,Control,10,1,27/11/2017,41.578,52.372,2.559844136,34.17931642,40.3117416,2,2,2,4
3,59,Female,Control,11,1,27/11/2017,36.58,55.17,5.727897345,33.67273644,37.16910771,2,2,2,3
4,59,Female,Control,1,1,27/11/2017,57.59,56.791,2.440491959,26.9954374,29.56855806,2,3,4,5
4,59,Female,Control,2,1,27/11/2017,58.99,58.79,2.440491959,25.87128085,27.77933795,3,3,5,5
4,59,Female,Control,3,1,27/11/2017,58.99,62.19,3.4,24.11592844,24.43274068,3,4,5,5
4,59,Female,Control,4,1,27/11/2017,69.588,72.788,2.828285877,27.47705291,20.2596943,1,2,5,6
4,59,Female,Control,5,1,27/11/2017,69.189,75.588,2.828285877,27.32574208,22.08764383,1,1,5,6
4,59,Female,Control,6,1,27/11/2017,54.391,86.186,16.19812366,23.95003941,20.61629477,0,0,3,6
4,59,Female,Control,7,1,27/11/2017,46.592,100.383,16.19812366,31.82434574,34.78759602,0,0,2,4
4,59,Female,Control,8,1,27/11/2017,33.994,89.185,6.595998863,27.06215179,29.82787329,1,2,4,5
4,59,Female,Control,9,1,27/11/2017,35.594,82.786,6.595998863,24.46324679,24.0440433,1,2,4,6
4,59,Female,Control,10,1,27/11/2017,22.196,86.386,10.29450348,33.37550482,36.82731098,0,3,3,5
4,59,Female,Control,11,1,27/11/2017,20.797,76.187,10.29450348,33.69915961,35.36705304,0,1,3,3
4,59,Female,Control,12,1,27/11/2017,52.991,66.189,7.209715806,22.0936146,20.04594745,2,3,5,6
5,59,Male,Infected,1,1,27/11/2017,75.601,85.003,5.292038265,40.40262535,46.53604978,1,1,1,3
5,59,Male,Infected,2,1,27/11/2017,79.714,81.673,5.292038265,39.18033802,45.10909374,1,1,1,3
5,59,Male,Infected,3,1,27/11/2017,87.353,62.087,11.47715161,34.0143855,34.70628855,0,1,1,5
5,59,Male,Infected,4,1,27/11/2017,82.456,51.707,11.47715161,29.53532973,30.52652592,0,2,2,4
5,59,Male,Infected,5,1,27/11/2017,75.406,42.11,11.90818664,27.40456559,27.66136376,0,2,3,5
5,59,Male,Infected,6,1,27/11/2017,62.675,40.151,3.347025695,23.6398816,21.18397142,2,3,4,7
5,59,Male,Infected,7,1,27/11/2017,59.541,41.326,3.347025695,22.82247464,17.84165194,2,3,6,6
5,59,Male,Infected,8,1,27/11/2017,54.449,39.563,5.388565022,24.17332472,21.11120693,3,5,5,6
5,59,Male,Infected,9,1,27/11/2017,47.789,43.676,6.049362611,24.80914955,18.10104627,3,4,6,6
5,59,Male,Infected,10,1,27/11/2017,45.243,50.532,4.782184438,25.41191175,20.28890793,2,4,5,6
5,59,Male,Infected,11,1,27/11/2017,42.501,46.614,4.782184438,27.21534036,21.18397142,2,4,5,6
5,59,Male,Infected,12,1,27/11/2017,37.213,58.366,11.2183981,32.71102068,31.30654355,0,2,3,6
6,59,Male,Infected,1,1,27/11/2017,25.703,36.364,12.35311734,36.90019032,42.34377953,0,1,2,5
6,59,Male,Infected,2,1,27/11/2017,31.605,47.216,8.973192297,29.75754993,31.58894948,1,3,3,4
6,59,Male,Infected,3,1,27/11/2017,28.939,55.784,8.973192297,32.43434773,36.53148194,1,2,3,5
6,59,Male,Infected,4,1,27/11/2017,39.982,56.165,11.04957058,26.0985509,27.22566299,0,3,3,5
6,59,Male,Infected,5,1,27/11/2017,47.026,66.255,12.30552868,28.69536677,27.00692298,0,2,2,6
6,59,Male,Infected,6,1,27/11/2017,59.782,61.496,11.71949828,25.5084763,21.975591,0,3,3,6
6,59,Male,Infected,7,1,27/11/2017,67.778,52.928,4.345768056,24.23190931,24.66281478,1,4,4,5
6,59,Male,Infected,8,1,27/11/2017,71.586,55.022,4.345768056,26.78541131,27.00692298,1,3,4,5
6,59,Male,Infected,9,1,27/11/2017,73.3,44.17,10.35350414,26.94252025,21.975591,0,4,4,6
6,59,Male,Infected,10,1,27/11/2017,61.876,39.982,12.16746153,23.57852194,21.61566636,0,3,5,6
6,59,Male,Infected,11,1,27/11/2017,73.3,30.653,9.707984034,31.72969032,33.67531697,1,3,3,5
