Viral ID,Line,Sex,Infection Day,Lifespan,Mean Viral Titre per Well,Viral Titre per Well SD,Viral Titre per Fly,log10(Viral Titre per Fly +1),Ct_Rep1,Ct_Rep2,Ct_Mean,Quantity_Rep1,Quantity_Rep2
1,738,Female,14/12/2015,11,0.342602804,0.148269684,214.1267525,2.332694421,32.7438736,31.85479927,32.29933643,0.237760305,0.447445303
2,738,Female,14/12/2015,11,1.985873626,2.808126608,1241.171016,3.094181392,23.94167137,36.99359131,30.46763134,3.971518993,0.00022826
3,738,Female,14/12/2015,13,16.64440775,2.474376739,10402.75484,4.01719011,26.17050552,25.8424015,26.00645351,14.89475918,18.39405632
4,738,Female,14/12/2015,26,0.264059834,0.058963494,165.0373963,2.220205914,32.80993271,33.29759979,33.05376625,0.30575332,0.222366348
5,738,Female,14/12/2015,10,90.85304642,5.033890111,56783.15401,4.75422716,21.55840111,21.43246269,21.4954319,87.29354858,94.41254425
6,738,Female,14/12/2015,12,1.113438427,0.123923957,695.8990169,2.843169852,29.25405693,29.49773026,29.37589359,1.201065898,1.025810957
7,738,Female,14/12/2015,13,0.069315647,0.067648804,43.32227938,1.646622087,31.37701988,33.84480286,32.61091137,0.117150575,0.021480719
8,738,Female,14/12/2015,13,0.024743252,0.007693118,15.4645325,1.216549404,34.26447678,34.89021683,34.5773468,0.030183109,0.019303396
9,738,Female,14/12/2015,14,0.099889562,0.141265173,62.43097625,1.802301396,Undetermined,31.42165947,31.42165947,0,0.199779123
22,380,Male,14/12/2015,13,0.075554367,0.013954848,47.22147938,1.68324053,32.21871185,31.83652878,32.02762032,0.0656868,0.085421935
23,380,Male,14/12/2015,14,1.404852986,0.037681643,878.0331163,2.944005237,28.52389526,28.46697426,28.49543476,1.378208041,1.431497931
24,380,Male,14/12/2015,17,1.326032519,0.007338778,828.7703244,2.918957899,30.3217144,30.3327198,30.3272171,1.331221819,1.32084322
25,380,Male,14/12/2015,12,9.56786871,2.053385693,5979.917944,3.776767844,24.76642227,25.21140289,24.98891258,11.01983166,8.115905762
26,380,Male,14/12/2015,12,0.094411143,0.130605802,59.00696438,1.778201657,38.28605652,31.52274132,34.90439892,0.002058895,0.186763391
27,380,Male,14/12/2015,14,0.484969817,0.479061953,303.1061356,2.483025183,33.35962296,30.67173004,32.0156765,0.146221861,0.823717773
28,380,Male,14/12/2015,13,0.211908281,0.019590635,132.4426756,2.125294741,31.6699276,31.48219299,31.5760603,0.19805561,0.225760952
29,380,Male,14/12/2015,13,0.613265961,0.524278346,383.2912256,2.584660468,30.39529991,32.57276535,31.48403263,0.983986735,0.242545187
30,380,Male,14/12/2015,17,4.746490479,0.101144344,2966.556549,3.472399004,26.64602852,26.69124794,26.66863823,4.81801033,4.674970627
31,380,Male,14/12/2015,12,0.28949172,0.188090205,180.932325,2.25990987,30.86817741,32.40253448,31.63535595,0.42249158,0.156491861
32,765,Female,14/12/2015,3,32.49316788,8.302953433,20308.22993,4.307693456,21.39844704,20.91003227,21.15423965,26.6220932,38.36424255
33,765,Female,14/12/2015,11,8.741821289,2.36790301,5463.638306,3.737561422,25.98126793,25.46491623,25.72309208,7.067461014,10.41618156
34,765,Female,14/12/2015,11,0.369359225,0.145086817,230.8495156,2.365206193,29.58423615,30.34373283,29.96398449,0.471951097,0.266767353
35,765,Female,14/12/2015,9,1.690042287,0.986341074,1056.276429,3.02418855,28.74984169,27.33993149,28.04488659,0.992593825,2.387490749
36,765,Female,14/12/2015,11,6.157957315,2.225471275,3848.723322,3.585429518,25.50550079,26.28768158,25.89659119,7.731603146,4.584311485
37,765,Female,14/12/2015,11,11.68791437,1.683446956,7304.946481,3.863676487,22.36916733,22.64239502,22.50578117,12.87829113,10.49753761
38,765,Female,14/12/2015,11,0.883238256,0.019685276,552.02391,2.742743908,28.775877,28.72870445,28.75229073,0.869318664,0.897157848
39,765,Female,14/12/2015,3,0.431491733,0.032581916,269.6823331,2.432459911,29.63430595,29.77660561,29.70545578,0.454530627,0.408452839
40,765,Female,14/12/2015,10,111.808094,4.604421143,69880.05875,4.844359476,25.58230782,25.7027874,25.64254761,115.0639114,108.5522766
41,765,Female,14/12/2015,7,13.12244797,0.108916897,8201.529981,3.913947826,25.7688427,25.75241089,25.76062679,13.04543209,13.19946384
52,75,Male,14/12/2015,17,0.131355859,0.093020739,82.09741188,1.919587498,33.25474167,31.67663383,32.46568775,0.065580264,0.197131455
53,75,Male,14/12/2015,11,39.94017982,6.027015521,24962.61239,4.397307431,23.54066467,23.82585526,23.68325996,44.20192337,35.67843628
54,75,Male,14/12/2015,12,73.15770721,3.775364984,45723.56701,4.660149602,22.84999657,22.96279716,22.90639687,75.8272934,70.48812103
55,75,Male,14/12/2015,11,17.26803303,1.243750128,10792.52064,4.033163126,25.86338425,26.02190018,25.94264221,18.14749718,16.38856888
56,75,Male,14/12/2015,18,111.6237488,2.846467325,69764.843,4.843642846,21.48339653,21.53737068,21.51038361,113.6365051,109.6109924
57,75,Male,14/12/2015,11,0.448346987,0.037050262,280.2168669,2.449041365,30.68867683,30.86943245,30.77905464,0.474545479,0.422148496
58,75,Male,14/12/2015,12,0.074698426,0.016602381,46.68651625,1.678395596,33.23530197,32.79161835,33.01346016,0.06295877,0.086438082
59,75,Male,14/12/2015,10,127.0282173,10.0725762,79392.63581,4.899785691,22.67965317,22.84859467,22.76412392,134.1506042,119.9058304
60,75,Male,14/12/2015,11,0.03241137,0.04392659,20.25710625,1.327504143,32.25516129,37.38070297,34.81793213,0.063472159,0.00135058
61,75,Male,14/12/2015,14,0.145518698,0.048495291,90.94918625,1.96354789,32.63469315,33.35756302,32.99612808,0.179810047,0.111227348
72,818,Female,14/12/2015,12,5598.395264,222.0615675,3498997.04,6.543943699,17.60705566,17.49101448,22.3879261,5441.374023,5755.416504
73,818,Female,14/12/2015,13,0.04929593,0.066796572,30.80995625,1.502563072,31.65870476,37.25295258,24.57485962,0.09652824,0.002063621
74,818,Female,14/12/2015,7,1396764.188,52685.73077,872977617.5,8.941003109,6.189333439,6.078986168,21.72114301,1359509.75,1434018.625
